metric,old_correct,old_total,old_acc,new_correct,new_total,new_acc,delta
FORM,124,127,0.9763779527559056,124,127,0.9763779527559056,0.0
LEMMA,121,127,0.952755905511811,121,127,0.952755905511811,0.0
UPOS,117,127,0.9212598425196851,117,127,0.9212598425196851,0.0
XPOS,121,127,0.952755905511811,121,127,0.952755905511811,0.0
FEATS,123,127,0.968503937007874,123,127,0.968503937007874,0.0
HEAD,106,127,0.8346456692913385,106,127,0.8346456692913385,0.0
DEPREL,94,127,0.7401574803149606,94,127,0.7401574803149606,0.0
UAS,106,127,0.8346456692913385,106,127,0.8346456692913385,0.0
LAS,89,127,0.7007874015748031,89,127,0.7007874015748031,0.0
