examples	issue_type	morpheme_form	overlap_values	split_glosses	split_tags
"[{""uid"": ""ed98d4d1-638c-4377-8c6d-5511855636d1"", ""text"": ""ajo liwatece ja iwaGadi"", ""host_token"": ""ajo"", ""split_index"": 1, ""split_tag"": ""F"", ""split_gloss"": null}, {""uid"": ""ccb5ea37-b3ba-47a9-8d71-224f599ea7be"", ""text"": ""ajo liwatece etadi weiigi"", ""host_token"": ""ajo"", ""split_index"": 1, ""split_tag"": ""Gnr"", ""split_gloss"": ""F""}, {""uid"": ""49347527-d19d-4689-bff1-ba3e497e7b1f"", ""text"": ""ajo niwatece etadi digoida"", ""host_token"": ""ajo"", ""split_index"": 1, ""split_tag"": ""Gnr"", ""split_gloss"": ""F""}, {""uid"": ""b2e3ea43-0d68-46ee-9f33-938610cc8aec"", ""text"": ""niwatece etadi weiigi"", ""host_token"": ""etadi"", ""split_index"": 2, ""split_tag"": ""Gnr"", ""split_gloss"": ""F""}, {""uid"": ""1b99ecb9-5656-4c38-b60b-fbbe643708fb"", ""text"": ""ajo niwatece ipegitege weiigi"", ""host_token"": ""ajo"", ""split_index"": 1, ""split_tag"": ""Gnr"", ""split_gloss"": null}, {""uid"": ""7b810df7-6ed0-4027-b2fe-72c64e9ca1dc"", ""text"": ""iGeladi idei mijo naigi naGajo"", ""host_token"": ""naGajo"", ""split_index"": 2, ""split_tag"": ""Gnr"", ""split_gloss"": null}]"	morpheme_tag_gloss_role_overlap	a	"[""F""]"	"[""F""]"	"[""F"", ""Gnr""]"
"[{""uid"": ""ed98d4d1-638c-4377-8c6d-5511855636d1"", ""text"": ""ajo liwatece ja iwaGadi"", ""host_token"": ""ajo"", ""split_index"": 2, ""split_tag"": ""CL"", ""split_gloss"": null}, {""uid"": ""ccb5ea37-b3ba-47a9-8d71-224f599ea7be"", ""text"": ""ajo liwatece etadi weiigi"", ""host_token"": ""ajo"", ""split_index"": 2, ""split_tag"": ""Ncl"", ""split_gloss"": ""CL""}, {""uid"": ""49347527-d19d-4689-bff1-ba3e497e7b1f"", ""text"": ""ajo niwatece etadi digoida"", ""host_token"": ""ajo"", ""split_index"": 2, ""split_tag"": ""Ncl"", ""split_gloss"": null}, {""uid"": ""1b99ecb9-5656-4c38-b60b-fbbe643708fb"", ""text"": ""ajo niwatece ipegitege weiigi"", ""host_token"": ""ajo"", ""split_index"": 2, ""split_tag"": ""Ncl"", ""split_gloss"": null}, {""uid"": ""12147353-b422-4ad7-9bef-1d20e70e2a74"", ""text"": ""ica loigi ijo niganigi ipegitegi GanigotGa"", ""host_token"": ""ijo"", ""split_index"": 2, ""split_tag"": ""Ncl"", ""split_gloss"": null}, {""uid"": ""7b810df7-6ed0-4027-b2fe-72c64e9ca1dc"", ""text"": ""iGeladi idei mijo naigi naGajo"", ""host_token"": ""me@"", ""split_index"": 3, ""split_tag"": ""Ncl"", ""split_gloss"": null}, {""uid"": ""7b810df7-6ed0-4027-b2fe-72c64e9ca1dc"", ""text"": ""iGeladi idei mijo naigi naGajo"", ""host_token"": ""naGajo"", ""split_index"": 3, ""split_tag"": ""Ncl"", ""split_gloss"": null}]"	morpheme_tag_gloss_role_overlap	jo	"[""CL""]"	"[""CL""]"	"[""CL"", ""Ncl""]"
"[{""uid"": ""ed98d4d1-638c-4377-8c6d-5511855636d1"", ""text"": ""ajo liwatece ja iwaGadi"", ""host_token"": ""liwatece"", ""split_index"": 2, ""split_tag"": ""canoa"", ""split_gloss"": null}, {""uid"": ""ccb5ea37-b3ba-47a9-8d71-224f599ea7be"", ""text"": ""ajo liwatece etadi weiigi"", ""host_token"": ""liwatece"", ""split_index"": 2, ""split_tag"": ""n"", ""split_gloss"": ""canoa""}, {""uid"": ""49347527-d19d-4689-bff1-ba3e497e7b1f"", ""text"": ""ajo niwatece etadi digoida"", ""host_token"": ""niwatece"", ""split_index"": 2, ""split_tag"": ""n"", ""split_gloss"": ""canoa""}, {""uid"": ""69948fe6-81f6-4faa-a344-8f8c47486943"", ""text"": ""niwatece iwaGadi"", ""host_token"": ""niwatece"", ""split_index"": 2, ""split_tag"": ""n"", ""split_gloss"": ""canoa""}, {""uid"": ""b2e3ea43-0d68-46ee-9f33-938610cc8aec"", ""text"": ""niwatece etadi weiigi"", ""host_token"": ""niwatece"", ""split_index"": 2, ""split_tag"": ""n"", ""split_gloss"": ""canoa""}, {""uid"": ""1b99ecb9-5656-4c38-b60b-fbbe643708fb"", ""text"": ""ajo niwatece ipegitege weiigi"", ""host_token"": ""niwatece"", ""split_index"": 2, ""split_tag"": ""n"", ""split_gloss"": null}]"	morpheme_tag_gloss_role_overlap	watece	"[""canoa""]"	"[""canoa""]"	"[""canoa"", ""n""]"
