issue_type	known_split_forms	missing_in	token_form
token_lacks_splits_but_analyzed_elsewhere	"[[""i"", ""Geladi""], [""i"", ""geladi""]]"	"[{""text"": ""iGeladi idei naigi anenapioi"", ""uid"": ""2f47b402-9fe7-4714-96e3-c6cbdf405472""}, {""text"": ""iGeladi idei digoida"", ""uid"": ""a4ccc755-a644-4b04-ab1b-698e7acea4cc""}, {""text"": ""iGeladi ipegitaGagi"", ""uid"": ""82117289-be52-45d0-886d-a5747eb20ea2""}, {""text"": ""iGeladi ipegitegi liGeladi"", ""uid"": ""50f93fbc-14fa-48e7-b8ba-22f744109348""}, {""text"": ""iGeladi ipegitegi naigi ane napioi"", ""uid"": ""014fefb1-d5e3-48c8-9ac3-9e713a41407f""}, {""text"": ""iGeladi ipegitegi naigi me napioi"", ""uid"": ""bb8018ba-76b3-43f2-82ea-78b6009c1f90""}, {""text"": ""iGeladi aGipegitegi weigi"", ""uid"": ""1da1bf7a-7975-4baf-821b-9df5c75ac297""}]"	iGeladi
token_lacks_splits_but_analyzed_elsewhere	"[[""l"", ""Geladi""], [""l"", ""iGeladi""]]"	"[{""text"": ""ica lidGegi loligi idei liGeladi"", ""uid"": ""582429f2-67d5-4077-b209-6deb7b5df54f""}, {""text"": ""João liGeladi ane napioi"", ""uid"": ""f081c545-c42b-463d-b57f-db87787f20e7""}]"	liGeladi
token_lacks_splits_but_analyzed_elsewhere	"[[""n"", ""ioladi""]]"	"[{""text"": ""ica nioladi nioxoa libinienigi"", ""uid"": ""881131dd-3f70-411a-ac7e-85557139d1e3""}, {""text"": ""ica nioladi lodawa libinienigi"", ""uid"": ""95a7d135-4be0-463d-b443-76cc5828fc89""}]"	nioladi
token_lacks_splits_but_analyzed_elsewhere	"[[""""], [""weiigi""]]"	"[{""text"": ""ajo niwatece ipegitege weiigi"", ""uid"": ""1b99ecb9-5656-4c38-b60b-fbbe643708fb""}]"	weiigi
