glosses	issue_type	occurrences	token_form
"[""não fica perto dela"", ""não sua gostosura""]"	conflicting_token_glosses	"[{""gloss"": ""não fica perto dela"", ""text"": ""liGeladi Maria aGipegetege"", ""uid"": ""e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9""}, {""gloss"": ""não sua gostosura"", ""text"": ""ica Maria looligi alidi"", ""uid"": ""fef391af-9e63-419f-8f81-057459193f49""}]"	aG@
"[""que"", ""se""]"	conflicting_token_glosses	"[{""gloss"": ""se"", ""text"": ""Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi"", ""uid"": ""ee1a1190-7803-404c-83f6-49d3ccf63b0d""}, {""gloss"": ""que"", ""text"": ""Eyodi daGa niganaGacanajo"", ""uid"": ""845b9d1d-ad7c-445a-bfbd-04fd9255ffc2""}]"	daGa
"[""a"", ""uma""]"	conflicting_token_glosses	"[{""gloss"": ""a"", ""text"": ""ica liGeladi ipegitegi"", ""uid"": ""2fff1f23-4e6f-401c-8b74-6a17ff6a391a""}, {""gloss"": ""a"", ""text"": ""ica Maria looligi alidi"", ""uid"": ""fef391af-9e63-419f-8f81-057459193f49""}, {""gloss"": ""uma"", ""text"": ""ica looligi lidi"", ""uid"": ""070d221f-f72d-4055-9c82-ddc383743e6a""}, {""gloss"": ""a"", ""text"": ""ica looligi dapiko"", ""uid"": ""68277d1f-c30b-4c4f-ba9e-c2883cc133af""}, {""gloss"": ""a"", ""text"": ""ica looligi ja dapiko"", ""uid"": ""5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5""}, {""gloss"": ""uma"", ""text"": ""ica looligi lidGegi"", ""uid"": ""c5bd2cb2-e53b-40e4-9159-6dacde49c1b6""}, {""gloss"": ""a"", ""text"": ""ica loigi ijo niganigi ipegitegi GanigotGa"", ""uid"": ""12147353-b422-4ad7-9bef-1d20e70e2a74""}, {""gloss"": ""a"", ""text"": ""ica lidGegi loligi idei liGeladi"", ""uid"": ""582429f2-67d5-4077-b209-6deb7b5df54f""}, {""gloss"": ""a"", ""text"": ""ica liwigo libinienigi"", ""uid"": ""0f478381-6858-463d-94cc-903e9dc879f9""}, {""gloss"": ""a"", ""text"": ""ica niwigo libinienigi"", ""uid"": ""55551636-8ed3-4545-8510-d8dbfd817a1a""}, {""gloss"": ""a"", ""text"": ""ica nioladi Ganixoa"", ""uid"": ""5d0b94bf-223d-4f09-8c6f-b951a70d6d0b""}, {""gloss"": ""a"", ""text"": ""ica nioladi nioxoa libinienigi"", ""uid"": ""881131dd-3f70-411a-ac7e-85557139d1e3""}, {""gloss"": ""a"", ""text"": ""ica nioladi lodawa libinienigi"", ""uid"": ""95a7d135-4be0-463d-b443-76cc5828fc89""}]"	ica
"[""fica perto de"", ""fica próxima de""]"	conflicting_token_glosses	"[{""gloss"": ""fica perto de"", ""text"": ""ica liGeladi ipegitegi"", ""uid"": ""2fff1f23-4e6f-401c-8b74-6a17ff6a391a""}, {""gloss"": ""fica próxima de"", ""text"": ""ica loigi ijo niganigi ipegitegi GanigotGa"", ""uid"": ""12147353-b422-4ad7-9bef-1d20e70e2a74""}, {""gloss"": ""fica próxima de"", ""text"": ""iGeladi ipegitegi liGeladi"", ""uid"": ""50f93fbc-14fa-48e7-b8ba-22f744109348""}, {""gloss"": ""fica próxima de"", ""text"": ""iGeladi ipegitegi naigi ane napioi"", ""uid"": ""014fefb1-d5e3-48c8-9ac3-9e713a41407f""}, {""gloss"": ""fica próxima de"", ""text"": ""iGeladi ipegitegi naigi me napioi"", ""uid"": ""bb8018ba-76b3-43f2-82ea-78b6009c1f90""}]"	ipegitegi
"[""completivo"", ""perfectivo""]"	conflicting_token_glosses	"[{""gloss"": ""completivo"", ""text"": ""ajo liwatece ja iwaGadi"", ""uid"": ""ed98d4d1-638c-4377-8c6d-5511855636d1""}, {""gloss"": ""perfectivo"", ""text"": ""ica looligi ja dapiko"", ""uid"": ""5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5""}]"	ja
"[""(tirar)"", ""casa"", ""casa dela/dele"", ""sua casa""]"	conflicting_token_glosses	"[{""gloss"": ""casa dela/dele"", ""text"": ""liGeladi Maria aGipegetege"", ""uid"": ""e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9""}, {""gloss"": ""casa dela/dele"", ""text"": ""liGeladi idei nigotaGa"", ""uid"": ""e9d6dfb6-656d-44aa-ba17-86289fd72268""}, {""gloss"": ""sua casa"", ""text"": ""ica liGeladi ipegitegi"", ""uid"": ""2fff1f23-4e6f-401c-8b74-6a17ff6a391a""}, {""gloss"": ""casa"", ""text"": ""ica lidGegi loligi idei liGeladi"", ""uid"": ""582429f2-67d5-4077-b209-6deb7b5df54f""}, {""gloss"": ""casa"", ""text"": ""João liGeladi ane napioi"", ""uid"": ""f081c545-c42b-463d-b57f-db87787f20e7""}, {""gloss"": ""(tirar)"", ""text"": ""iGeladi ipegitegi liGeladi"", ""uid"": ""50f93fbc-14fa-48e7-b8ba-22f744109348""}]"	liGeladi
"[""comida dele/dela"", ""sua comida""]"	conflicting_token_glosses	"[{""gloss"": ""sua comida"", ""text"": ""ica Maria looligi alidi"", ""uid"": ""fef391af-9e63-419f-8f81-057459193f49""}, {""gloss"": ""comida dele/dela"", ""text"": ""ica looligi ja dapiko"", ""uid"": ""5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5""}, {""gloss"": ""sua comida"", ""text"": ""ica looligi lidGegi"", ""uid"": ""c5bd2cb2-e53b-40e4-9159-6dacde49c1b6""}]"	looligi
