conllu_count	issue_type	path	text	token_count	uid
3	token_conllu_count_mismatch	$.pages[0].sentences[6]	liGeladi Maria aGipegetege	4	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9
4	token_conllu_count_mismatch	$.pages[0].sentences[10]	ica Maria looligi alidi	5	fef391af-9e63-419f-8f81-057459193f49
4	token_conllu_count_mismatch	$.pages[0].sentences[23]	iGeladi idei naigi anenapioi	5	2f47b402-9fe7-4714-96e3-c6cbdf405472
5	token_conllu_count_mismatch	$.pages[0].sentences[26]	iGeladi idei mijo naigi naGajo	6	7b810df7-6ed0-4027-b2fe-72c64e9ca1dc
3	token_conllu_count_mismatch	$.pages[0].sentences[29]	Eyodi ane niganaGacanajo	4	7b806584-75e5-4017-b9e2-ba97458903bd
5	token_conllu_count_mismatch	$.pages[0].sentences[34]	iGeladi ipegitegi naigi ane napioi	6	014fefb1-d5e3-48c8-9ac3-9e713a41407f
3	token_conllu_count_mismatch	$.pages[0].sentences[36]	iGeladi aGipegitegi weigi	4	1da1bf7a-7975-4baf-821b-9df5c75ac297
