expected_from_text	expected_from_uid	expected_split_forms	expected_split_tags	issue_type	split_forms_here	split_tags_here	text	token_form	uid
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	"[""""]"	"[""""]"	niwatece etadi weiigi	weiigi	b2e3ea43-0d68-46ee-9f33-938610cc8aec
ica liGeladi ipegetege	79a6cd4e-b585-437a-9084-1fa077dec3b6	"[""l"", ""Geladi""]"	"[""Gen"", ""n""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	"[""l"", ""iGeladi""]"	"["""", """"]"	ica liGeladi ipegitegi	liGeladi	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
liGeladi Maria aGipegetege	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	"[""aG"", ""i"", ""pege"", ""tege""]"	"[""Neg"", ""Erg"", ""v"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	"[""aG"", ""i"", ""pegi"", ""tegi""]"	"["""", """", """", """"]"	iGeladi aGipegitegi weigi	aG@	1da1bf7a-7975-4baf-821b-9df5c75ac297
ica loigi ijo niganigi ipegitegi GanigotGa	12147353-b422-4ad7-9bef-1d20e70e2a74	"[""i"", ""ca""]"	"[""Gnr"", ""Ncl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	"[""i"", ""ca""]"	"["""", """"]"	ica liGeladi ipegitegi	ica	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
ica loigi ijo niganigi ipegitegi GanigotGa	12147353-b422-4ad7-9bef-1d20e70e2a74	"[""i"", ""pegi"", ""tegi""]"	"[""Erg"", ""v"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	"[""i"", ""pegi"", ""tegi""]"	"["""", """", """"]"	ica liGeladi ipegitegi	ipegitegi	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
