source_id	split_form	split_tag	count
ped-gramm	i	Plu	1
ped-gramm	waca	n	1
ped-gramm	otiidi		1
ped-gramm	apiko	v	1
ped-gramm	iwa	v	1
ped-gramm	Gadi	Der	1
ped-gramm	ojedi	n	1
ped-gramm	ojedi		1
hil-data	Ga	Gnr	1
hil-data	nioxoa	n	1
hil-data	Gad	Gen	1
hil-data	odawa	n	1
hil-data	ane		1
hil-data	l		1
hil-data	ojedi		1
hil-data	dakake		1
hil-data	wenigi	n	1
hil-data	a	Plu	1
hil-data	ion	n	1
hil-data	ijotaGa		1
hil-data	ticoaci	Dir	1
hil-data	me	c	1
hil-data	Iwaa	n	1
hil-data	lo	Gnr	1
hil-data	p	Ep	1
hil-data	adi	Plu	1
hil-data	ninitibeci		1
hil-data	n	Abs	1
hil-data	ni	v	1
hil-data	tibigi	Dir	1
hil-data	niG	Dem	1
hil-data	odajo	n	1
hil-data	idei	v	1
hil-data	wetiGa	n	1
hil-data	ani	v	1
hil-data	teloco	Apl	1
hil-data	waca	n	1
hil-data	otiidi	n	1
hil-data	noGojegi	n	1
hil-data	ixagodi	v	1
hil-data	taGa	Der	1
hil-data	ejin	v	1
hil-data	aGa	Plu	1
hil-data	adataGa		1
hil-data	idataGa		1
hil-data	idinitibeci		1
hil-data	ipegi		1
hil-data	taGagi	Apl	1
hil-data	ti		1
hil-data	ibiwe	n	1
hil-data	ixagodi		1
hil-data	iona	n	1
van-data	Ga	Gen	1
van-data	aaginaGa	n	1
van-data	naGa	Dim	1
van-data	Gad	Gen	1
van-data	odawa	n	1
van-data	n	Dir	1
van-data	oxilece	v	1
van-data	oje		1
van-data	tedi		1
van-data	iwaaGadi	v	1
van-data	tena	Der	1
van-data	niG	Dem	1
van-data	wenigi	n	1
van-data	akake	v	1
van-data	a	Plu	1
van-data	ionigi	n	1
van-data	initaGa		1
van-data	ke	Dir	1
van-data	Ge	Nmlz	1
van-data	apica	v	1
van-data	Ga	Der	1
van-data	Gi	Der	1
van-data	n	Abs	1
van-data	tibigi	Dir	1
van-data	odajo	n	1
van-data	odowa	n	1
van-data	iwaaGa	v	1
van-data	te		1
van-data	apikoGo	v	1
van-data	apikoGo		1
van-data	ibinie	n	1
van-data	nigi	Dim	1
van-data	noGojegi	n	1
van-data	ixagodi	v	1
van-data	aGa	Der	1
van-data	akake	vu	1
van-data	nike	v	1
van-data	Ge	Der	1
van-data	nini		1
van-data	ee		1
van-data	nini	v	1
van-data	keGe	Der	1
van-data	inini	v	1
van-data	id	Abs	1
van-data	waaGadi	v	1
van-data	tege	Apl	1
van-data	ewi	a	1
van-data	eyo		1
