source_id	source_tag	chunk_label	count
hil-data	N	IP-SUB[l=2]	2
hil-data	N	NP[l=3]	2
hil-data	C	NP[l=1]	2
hil-data	C	CP-me[l=2]	2
hil-data	DAPL	NP[l=1]	2
hil-data	DAPL	CP-me[l=2]	2
hil-data	DAPL	IP-SUB[l=3]	2
hil-data	DAPL	NP[l=4]	2
van-data	NPR	NP[l=1]	2
van-data	N	NP-PRD[l=1]	2
van-data	D	NP[l=2]	2
van-data	D	NP-PRD[l=1]	2
van-data	VB	NP[l=1]	2
van-data	VB	IP-SUB[l=3]	2
van-data		IP-MAT[l=0]	2
van-data		NP[l=1]	2
van-data	PUNC	IP-MAT[l=0]	2
van-data	NEG+D	CP-D[l=0]	2
van-data	C	CP-D[l=0]	2
van-data	VBAPL	CP-D[l=0]	2
van-data	VBAPL	IP-SUB[l=1]	2
van-data	N	NP-APL[l=1]	2
ped-gramm	D	NP[l=2]	1
ped-gramm	WPRO	WNP[l=1]	1
ped-gramm	C	NP[l=1]	1
ped-gramm	PRO$	IP-MAT[l=0]	1
ped-gramm	PRO$	CP-me[l=1]	1
ped-gramm	PRO$	IP-SUB[l=2]	1
ped-gramm	PRO$	NP[l=3]	1
ped-gramm	DAPL	NP-APL[l=1]	1
ped-gramm	DAPL	CP-me[l=2]	1
ped-gramm	DAPL	IP-SUB[l=3]	1
ped-gramm	DAPL	NP[l=4]	1
ped-gramm	N$	CP-daGa[l=1]	1
ped-gramm	N$	CP-me[l=2]	1
ped-gramm	N$	IP-SUB[l=3]	1
ped-gramm	N$	NP[l=4]	1
ped-gramm	N	CP-daGa[l=1]	1
ped-gramm	WPRO	NP-APL[l=1]	1
ped-gramm		NP-APL[l=1]	1
ped-gramm	Q	CP-me[l=1]	1
ped-gramm	VBU	CP-me[l=1]	1
ped-gramm	VBU	IP-SUB[l=2]	1
ped-gramm	N$	CP-me[l=1]	1
ped-gramm	N$	IP-SUB[l=2]	1
ped-gramm	N$	IP-MAT[l=1]	1
ped-gramm	VB	IP-MAT[l=1]	1
ped-gramm	CONJ	IP-MAT[l=0]	1
ped-gramm	CONJ	CONJP[l=1]	1
ped-gramm	NEG	CONJP[l=1]	1
ped-gramm	NEG	IP-MAT[l=2]	1
ped-gramm	VBU	CONJP[l=1]	1
ped-gramm	VBU	IP-MAT[l=2]	1
ped-gramm	N$	CONJP[l=1]	1
ped-gramm	N$	IP-MAT[l=2]	1
ped-gramm	DAPL	CP-me[l=1]	1
ped-gramm	DAPL	IP-SUB[l=2]	1
ped-gramm	DAPL	NP[l=3]	1
ped-gramm	Q	NP-PRD[l=1]	1
ped-gramm	VB	NP[l=1]	1
ped-gramm	VB	CP-REL[l=2]	1
ped-gramm	VB	IP-SUB[l=3]	1
ped-gramm	ADJ	NP[l=1]	1
hil-data	WPRO	NP-SBJ[l=1]	1
hil-data		NP-SBJ[l=1]	1
hil-data	VB	NP-SBJ[l=1]	1
hil-data	CNEG+VBU	IP-MAT[l=0]	1
hil-data	Q	CP-me-me[l=1]	1
hil-data	C	CP-me-me[l=1]	1
hil-data	N$	CP-me-me[l=1]	1
hil-data	N$	NP[l=2]	1
hil-data	VBU	CP-me[l=1]	1
hil-data	VBU	IP-SUB[l=2]	1
hil-data	N$	CP-REL[l=2]	1
hil-data	N$	IP-SUB[l=3]	1
hil-data	N$	NP[l=4]	1
hil-data	N	NP[l=4]	1
hil-data	NPR	NP-SBJ[l=1]	1
