source_id	gloss_br	count
ped-gramm	em_pé	1
ped-gramm	eles todos	1
ped-gramm	todos	1
ped-gramm	estão (deitados) em	1
ped-gramm	estar	1
ped-gramm	casa dela	1
ped-gramm	palavra del(e|a)	1
ped-gramm	bonitas	1
ped-gramm	é duro|caro	1
ped-gramm	(ser|estar)_(duro|caro)	1
ped-gramm	preço del(e|a)	1
ped-gramm	(é|está)_pesad(o|a)	1
ped-gramm	e	1
ped-gramm	não (é|está) duro	1
ped-gramm	(ser|estar)_dur(o|a)	1
ped-gramm	estou	1
ped-gramm	com ele	1
ped-gramm	eu	1
ped-gramm	não estou feliz	1
ped-gramm	estarfeliz	1
ped-gramm	ficarperto	1
ped-gramm	1pl	1
ped-gramm	2M	1
ped-gramm	não eu	1
ped-gramm	felicidade	1
ped-gramm	vocês	1
ped-gramm	nós	1
ped-gramm	Os	1
ped-gramm	leite dela	1
ped-gramm	estar quente	1
ped-gramm	casa del(e|a)	1
ped-gramm	que o	1
ped-gramm	que é pesado	1
ped-gramm	vingança/preço	1
ped-gramm	ship	1
ped-gramm	vingança	1
hil-data	está feliz	1
hil-data	seu irmão	1
hil-data	seu marido	1
hil-data	marido|esposa	1
hil-data	going	1
hil-data	duro	1
hil-data	o	1
hil-data	menino	1
hil-data	ficar temporário	1
hil-data	filhos	1
hil-data	com ele	1
hil-data	formiga	1
hil-data	mulheres	1
hil-data	FEM	1
hil-data	belezas del(e|a)	1
hil-data	que está feliz	1
hil-data	(ser|estar)_feliz	1
hil-data	faca	1
hil-data	esposa	1
hil-data	não fica	1
hil-data	sua fotografia	1
hil-data	meninos	1
hil-data	pedras	1
hil-data	cair em	1
hil-data	meu pé	1
hil-data	leite del(e|a)	1
hil-data	leite	1
hil-data	aqueles	1
hil-data	fotografia	1
hil-data	ovos	1
hil-data	espírito/fotografia dele/a(s)	1
hil-data	est(e|a)s	1
hil-data	peixes	1
hil-data	peixe[M]	1
hil-data	vermelhitudes	1
hil-data	(ser|estar)_vermelho	1
hil-data	não é duro	1
hil-data	(ser|estar)_duro	1
hil-data	preço del(e|a)	1
hil-data	ele	1
hil-data	pessoa	1
hil-data	nosso comunidade	1
hil-data	estar_perto	1
hil-data	1|3	1
hil-data	COM	1
hil-data	nossa comunidade	1
hil-data	avô del(e|a)	1
hil-data	seu chifre	1
hil-data	árvore	1
hil-data	é vermelho	1
hil-data	suas belezas	1
hil-data	filhas	1
hil-data	filha	1
hil-data	estão em	1
hil-data	deitado	1
hil-data	que é em mim	1
hil-data	ess(e|a)	1
hil-data	lagoa pequena	1
van-data	teu irmão	1
van-data	homem	1
van-data	seu marido	1
van-data	marido|esposa	1
van-data	está pesada	1
van-data	baixou/diminuiu	1
van-data	hither	1
van-data	diminuir	1
van-data	seu preço/vingança	1
van-data	seu peso	1
van-data	seu preço	1
van-data	está(horizontal) em	1
van-data	este	1
van-data	muito	1
van-data	duro	1
van-data	que com el(e|a)	1
van-data	o|a	1
van-data	Masc	1
van-data	criancinha	1
van-data	que o	1
van-data	going	1
van-data	esses	1
van-data	filhas	1
van-data	filho	1
van-data	formiga	1
van-data	mulheres	1
van-data	demais	1
van-data	alegria del(e|a)	1
van-data	para_fora	1
van-data	ela	1
van-data	a quentura del(e|a)	1
van-data	quentura del(e|a)	1
van-data	alegram-se todos	1
van-data	totalitativo	1
van-data	faca del(e|a)	1
van-data	cônjuge del(e|a)	1
van-data	cônjuge	1
van-data	sua casa	1
van-data	peso del(e|a)	1
van-data	(ser|estar)_pesado	1
van-data	est(e|a)s	1
van-data	fall	1
van-data	come	1
van-data	os	1
van-data	sua fotografia	1
van-data	bonito	1
van-data	para os	1
van-data	deitad(o)(a)	1
van-data	bonitas/bonitos	1
van-data	peixes	1
van-data	peixe	1
van-data	vermelhitudes	1
van-data	(ser|estar)_vermelho	1
van-data	não (é|está) duro	1
van-data	não	1
van-data	(ser|estar)_duro	1
van-data	intesificador	1
van-data	não eu	1
van-data	felicidade	1
van-data	(sou|estou) pesad(o|a)	1
van-data	(ser|estar)_pesad(o|a)	1
van-data	estou perto dela	1
van-data	estou perto dele	1
van-data	M??	1
van-data	diz que já	1
van-data	seu chifre	1
van-data	árvore	1
van-data	é vermelho	1
van-data	beijus	1
van-data	deitado	1
van-data	que com	1
van-data	aproximar	1
