examples	issue_type	split_tag_sequences	token_form
"[{""uid"": ""ed98d4d1-638c-4377-8c6d-5511855636d1"", ""text"": ""ajo liwatece ja iwaGadi"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa dela/dele"", ""split_tags"": [""Gen"", ""canoa""], ""split_forms"": [""l"", ""watece""]}, {""uid"": ""ccb5ea37-b3ba-47a9-8d71-224f599ea7be"", ""text"": ""ajo liwatece etadi weiigi"", ""token_tag"": ""N$"", ""token_gloss"": ""canoa dela/dele"", ""split_tags"": [""Gen"", ""n""], ""split_forms"": [""l"", ""watece""]}]"	conflicting_split_tag_sequences_for_form	"[""Gen|canoa"", ""Gen|n""]"	liwatece
"[{""uid"": ""ed98d4d1-638c-4377-8c6d-5511855636d1"", ""text"": ""ajo liwatece ja iwaGadi"", ""token_tag"": ""T"", ""token_gloss"": ""completivo/passado"", ""split_tags"": [""PFV""], ""split_forms"": [""jaG""]}, {""uid"": ""5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5"", ""text"": ""ica looligi ja dapiko"", ""token_tag"": ""T"", ""token_gloss"": ""perfectivo"", ""split_tags"": [""t""], ""split_forms"": [""jaG""]}]"	conflicting_split_tag_sequences_for_form	"[""PFV"", ""t""]"	ja
"[{""uid"": ""ccb5ea37-b3ba-47a9-8d71-224f599ea7be"", ""text"": ""ajo liwatece etadi weiigi"", ""token_tag"": ""VB"", ""token_gloss"": ""está"", ""split_tags"": [""v""], ""split_forms"": [""etadi""]}, {""uid"": ""49347527-d19d-4689-bff1-ba3e497e7b1f"", ""text"": ""ajo niwatece etadi digoida"", ""token_tag"": ""VB"", ""token_gloss"": ""está"", ""split_tags"": [""v""], ""split_forms"": [""etadi""]}, {""uid"": ""b2e3ea43-0d68-46ee-9f33-938610cc8aec"", ""text"": ""niwatece etadi weiigi"", ""token_tag"": ""VB"", ""token_gloss"": ""está"", ""split_tags"": [""v"", ""Gnr"", ""Ncl""], ""split_forms"": [""et"", ""a"", ""di""]}]"	conflicting_split_tag_sequences_for_form	"[""v"", ""v|Gnr|Ncl""]"	etadi
"[{""uid"": ""49347527-d19d-4689-bff1-ba3e497e7b1f"", ""text"": ""ajo niwatece etadi digoida"", ""token_tag"": ""ADV"", ""token_gloss"": ""lá"", ""split_tags"": [""lá""], ""split_forms"": [""digoida""]}, {""uid"": ""a4ccc755-a644-4b04-ab1b-698e7acea4cc"", ""text"": ""iGeladi idei digoida"", ""token_tag"": ""ADV"", ""token_gloss"": ""lá"", ""split_tags"": [""Adv"", ""Gen"", ""Ncl""], ""split_forms"": [""digo"", ""i"", ""da""]}]"	conflicting_split_tag_sequences_for_form	"[""Adv|Gen|Ncl"", ""lá""]"	digoida
"[{""uid"": ""e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9"", ""text"": ""liGeladi Maria aGipegetege"", ""token_tag"": ""N$"", ""token_gloss"": ""casa dela/dele"", ""split_tags"": [""Gnr"", ""n""], ""split_forms"": [""l"", ""iGeladi""]}, {""uid"": ""79a6cd4e-b585-437a-9084-1fa077dec3b6"", ""text"": ""ica liGeladi ipegetege"", ""token_tag"": ""N$"", ""token_gloss"": ""sua casa"", ""split_tags"": [""Gen"", ""n""], ""split_forms"": [""l"", ""Geladi""]}, {""uid"": ""e9d6dfb6-656d-44aa-ba17-86289fd72268"", ""text"": ""liGeladi idei nigotaGa"", ""token_tag"": ""N$"", ""token_gloss"": ""casa dela/dele"", ""split_tags"": [""Gen"", ""n""], ""split_forms"": [""l"", ""Geladi""]}, {""uid"": ""2fff1f23-4e6f-401c-8b74-6a17ff6a391a"", ""text"": ""ica liGeladi ipegitegi"", ""token_tag"": ""N$"", ""token_gloss"": ""sua casa"", ""split_tags"": [""Gen"", ""n""], ""split_forms"": [""l"", ""iGeladi""]}, {""uid"": ""582429f2-67d5-4077-b209-6deb7b5df54f"", ""text"": ""ica lidGegi loligi idei liGeladi"", ""token_tag"": ""N$"", ""token_gloss"": ""casa"", ""split_tags"": [""Gen"", ""n""], ""split_forms"": [""l"", ""Geladi""]}, {""uid"": ""f081c545-c42b-463d-b57f-db87787f20e7"", ""text"": ""João liGeladi ane napioi"", ""token_tag"": ""N$"", ""token_gloss"": ""casa"", ""split_tags"": [""Gen"", ""n""], ""split_forms"": [""l"", ""Geladi""]}, {""uid"": ""50f93fbc-14fa-48e7-b8ba-22f744109348"", ""text"": ""iGeladi ipegitegi liGeladi"", ""token_tag"": ""N$"", ""token_gloss"": ""(tirar)"", ""split_tags"": [""Gen"", ""n""], ""split_forms"": [""l"", ""Geladi""]}]"	conflicting_split_tag_sequences_for_form	"[""Gen|n"", ""Gnr|n""]"	liGeladi
"[{""uid"": ""e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9"", ""text"": ""liGeladi Maria aGipegetege"", ""token_tag"": ""NEG"", ""token_gloss"": ""não fica perto dela"", ""split_tags"": [""Neg"", ""Erg"", ""v"", ""Apl""], ""split_forms"": [""aG"", ""i"", ""pege"", ""tege""]}, {""uid"": ""fef391af-9e63-419f-8f81-057459193f49"", ""text"": ""ica Maria looligi alidi"", ""token_tag"": ""NEG"", ""token_gloss"": ""não sua gostosura"", ""split_tags"": [""Neg"", ""Gen"", ""n""], ""split_forms"": [""aG"", ""l"", ""idi""]}]"	conflicting_split_tag_sequences_for_form	"[""Neg|Erg|v|Apl"", ""Neg|Gen|n""]"	aG@
