metric,old_correct,old_total,old_acc,new_correct,new_total,new_acc,delta
FORM,229,231,0.9913419913419913,229,231,0.9913419913419913,0.0
LEMMA,225,231,0.974025974025974,225,231,0.974025974025974,0.0
UPOS,226,231,0.9783549783549783,226,231,0.9783549783549783,0.0
XPOS,224,231,0.9696969696969697,224,231,0.9696969696969697,0.0
FEATS,216,231,0.935064935064935,216,231,0.935064935064935,0.0
HEAD,207,231,0.8961038961038961,207,231,0.8961038961038961,0.0
DEPREL,203,231,0.8787878787878788,203,231,0.8787878787878788,0.0
UAS,207,231,0.8961038961038961,207,231,0.8961038961038961,0.0
LAS,200,231,0.8658008658008658,200,231,0.8658008658008658,0.0
