metric,old_correct,old_total,old_acc,new_correct,new_total,new_acc,delta
FORM,174,177,0.9830508474576272,174,177,0.9830508474576272,0.0
LEMMA,148,177,0.8361581920903954,169,177,0.9548022598870056,0.11864406779661019
UPOS,174,177,0.9830508474576272,174,177,0.9830508474576272,0.0
XPOS,175,177,0.9887005649717514,175,177,0.9887005649717514,0.0
FEATS,104,177,0.5875706214689266,152,177,0.8587570621468926,0.27118644067796605
HEAD,151,177,0.8531073446327684,151,177,0.8531073446327684,0.0
DEPREL,147,177,0.8305084745762712,147,177,0.8305084745762712,0.0
UAS,151,177,0.8531073446327684,151,177,0.8531073446327684,0.0
LAS,143,177,0.807909604519774,143,177,0.807909604519774,0.0
