draft_file,sent_uid,gold_sent_id,draft_sent_id,reason,gold_token_count,draft_token_count,gold_token_ids,draft_token_ids,gold_forms,draft_forms
draft-ped-gramm.before.conllu,ee1a1190-7803-404c-83f6-49d3ccf63b0d,ped-gramm-28,ped-gramm-28,token_count_mismatch,8,9,1 2 3 4 5 6 7 8,1 2 3 4 5 6 7 8 9,eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi .,Eyodi dowediteloco naodigijedi me icawataGa daGa me lionigipi .
draft-hil.before.conllu,e349508c-4d86-48b8-9918-057988755e77,hil-data-5,hil-data-5,token_count_mismatch,7,6,1 2 3 4 5 6 7,1 2 3 4 5 6,Etogo ane iwaGadi aG dakake lojedi .,Etogo ane iwaGadi adakake lojedi .
draft-hil.before.conllu,1d10c633-e74d-4e27-ac23-6b6b2dde9647,hil-data-6,hil-data-6,token_count_mismatch,7,6,1 2 3 4 5 6 7,1 2 3 4 5 6,Etogo ane iwaGadi aG dakake loojedi .,Etogo ane iwaGadi adakake loojedi .
draft-van.before.conllu,4c41fdf6-0c48-4eb6-91f7-121c21f3e2a7,van-data-15,van-data-15,token_count_mismatch,5,8,1 2 3 4 5,1 2 3 4 5 6 7 8,niGijo niganigawaanigi lomigo niwatece .,Ijo nigaanigawaanigi idei me adi lomiigo niwatece .
draft-ped-gramm.after.conllu,ee1a1190-7803-404c-83f6-49d3ccf63b0d,ped-gramm-28,ped-gramm-28,token_count_mismatch,8,9,1 2 3 4 5 6 7 8,1 2 3 4 5 6 7 8 9,eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi .,Eyodi dowediteloco naodigijedi me icawataGa daGa me lionigipi .
draft-hil.after.conllu,e349508c-4d86-48b8-9918-057988755e77,hil-data-5,hil-data-5,token_count_mismatch,7,6,1 2 3 4 5 6 7,1 2 3 4 5 6,Etogo ane iwaGadi aG dakake lojedi .,Etogo ane iwaGadi adakake lojedi .
draft-hil.after.conllu,1d10c633-e74d-4e27-ac23-6b6b2dde9647,hil-data-6,hil-data-6,token_count_mismatch,7,6,1 2 3 4 5 6 7,1 2 3 4 5 6,Etogo ane iwaGadi aG dakake loojedi .,Etogo ane iwaGadi adakake loojedi .
draft-van.after.conllu,4c41fdf6-0c48-4eb6-91f7-121c21f3e2a7,van-data-15,van-data-15,token_count_mismatch,5,8,1 2 3 4 5,1 2 3 4 5 6 7 8,niGijo niganigawaanigi lomigo niwatece .,Ijo nigaanigawaanigi idei me adi lomiigo niwatece .
