draft_file,draft_path,gold_sentences_total,draft_sentences_total,matched_sentences,comparable_sentences,token_count_mismatch_sentences,token_id_mismatch_sentences,duplicate_draft_uids_ignored,scored_tokens,gold_tokens_in_matched_sentences,draft_tokens_in_matched_sentences,gold_tokens_in_scored_sentences,draft_tokens_in_scored_sentences,FORM_accuracy,LEMMA_accuracy,UPOS_accuracy,XPOS_accuracy,FEATS_accuracy,UAS_accuracy,DEPREL_accuracy,LAS_accuracy,FORM_correct,LEMMA_correct,UPOS_correct,XPOS_correct,FEATS_correct,HEAD_correct,DEPREL_correct,LAS_correct
draft-ped-gramm.before.conllu,/home/leonel/kadiweu/data/treebank/draft-ped-gramm.before.conllu,117,61,50,49,1,0,0,231,239,240,231,231,0.991342,0.974026,0.978355,0.969697,0.935065,0.896104,0.878788,0.865801,229,225,226,224,216,207,203,200
draft-hil.before.conllu,/home/leonel/kadiweu/data/treebank/draft-hil.before.conllu,117,70,34,32,2,0,0,127,141,139,127,127,0.976378,0.952756,0.921260,0.952756,0.968504,0.834646,0.740157,0.700787,124,121,117,121,123,106,94,89
draft-van.before.conllu,/home/leonel/kadiweu/data/treebank/draft-van.before.conllu,117,75,33,32,1,0,0,153,158,161,153,153,0.980392,0.980392,0.986928,0.980392,0.960784,0.771242,0.745098,0.679739,150,150,151,150,147,118,114,104
draft-ped-gramm.after.conllu,/home/leonel/kadiweu/data/treebank/draft-ped-gramm.after.conllu,117,61,50,49,1,0,0,231,239,240,231,231,0.991342,0.974026,0.978355,0.969697,0.935065,0.896104,0.878788,0.865801,229,225,226,224,216,207,203,200
draft-hil.after.conllu,/home/leonel/kadiweu/data/treebank/draft-hil.after.conllu,117,70,34,32,2,0,0,127,141,139,127,127,0.976378,0.952756,0.921260,0.952756,0.968504,0.834646,0.740157,0.700787,124,121,117,121,123,106,94,89
draft-van.after.conllu,/home/leonel/kadiweu/data/treebank/draft-van.after.conllu,117,75,33,32,1,0,0,153,158,161,153,153,0.980392,0.980392,0.986928,0.980392,0.960784,0.771242,0.745098,0.679739,150,150,151,150,147,118,114,104
