normalized_form	surface_forms	corpus_tag	provenance	token_count	sentence_ids	also_tagged_D	D_token_count_total	D_sentence_ids
akaami	akaami	PRO	DONE	1	ped-gramm,0.54	no	0	
ee	@ee	D	DONE	1	van-data,0.54	yes	3	ped-gramm,0.53; van-data,0.54; van-data,0.55
ee	@ee; ee	D	REVIEW	2	ped-gramm,0.53; van-data,0.55	yes	3	ped-gramm,0.53; van-data,0.54; van-data,0.55
ee	@ee; Ee; ee	PRO	DONE	13	hil-data,0.12; hil-data,0.48; hil-data,0.49; hil-data,0.50; hil-data,0.51; hil-data,0.52; ped-gramm,0.51; van-data,0.52; van-data,0.53; van-data,0.58; van-data,0.59; van-data,0.60; van-data,0.61	yes	3	ped-gramm,0.53; van-data,0.54; van-data,0.55
ee	Ee; ee	PRO	REVIEW	4	hil-data,0.45; hil-data,0.46; hil-data,0.47	yes	3	ped-gramm,0.53; van-data,0.54; van-data,0.55
eeyo	Eeyo	PRO	DONE	1	van-data,0.17	no	0	
eyo	@eyo; Eyo	PRO	DONE	2	van-data,0.18; van-data,0.62	no	0	
ida	ida	PRO	REVIEW	1	ped-gramm,0.38	no	0	
oko	oko	PRO	DONE	1	ped-gramm,0.54	no	0	
